Running with trkPtCut 1
GetFilesOf
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Warning in <TProfile::Sumw2>: Sum of squares of weights structure already created
Got hist class for foi 0
Open file Data2011.txt to extract files to run over
Opened Data2011.txt for reading
0: /net/hidsk0001/d00/scratch/pkurt/my_ntuple/PbPb_data_new_ntuple_p0.root
1: /net/hidsk0001/d00/scratch/pkurt/my_ntuple/PbPb_data_new_ntuple_p1.root
2: /net/hidsk0001/d00/scratch/pkurt/my_ntuple/PbPb_data_new_ntuple_p2.root
3: /net/hidsk0001/d00/scratch/pkurt/my_ntuple/PbPb_data_new_ntuple_p3.root
4: /net/hidsk0001/d00/scratch/pkurt/my_ntuple/PbPb_data_new_ntuple_p4.root
5: /net/hidsk0001/d00/scratch/pkurt/my_ntuple/PbPb_data_new_ntuple_p5.root
6: /net/hidsk0001/d00/scratch/pkurt/my_ntuple/PbPb_data_new_ntuple_p6.root
7: 
I am working
file it, file_name: /net/hidsk0001/d00/scratch/pkurt/my_ntuple/PbPb_data_new_ntuple_p0.root, number 0 of 7
Got CT
 I am running on file 0 of 7, evi: 0 of 99999
j4i: 0, pt: 115.814
WHY IS JET pT=0 : 115.814
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.91503
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.19473
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.12995
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.3658
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.08531
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.04863
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.21697
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.58525
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.16753
my_primary->jtpt->at(j4i): 115.814, trkPt: 2.47782
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.8328
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.49873
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.07756
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.48929
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.04357
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.41339
my_primary->jtpt->at(j4i): 115.814, trkPt: 2.0718
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.72985
my_primary->jtpt->at(j4i): 115.814, trkPt: 2.26091
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.77067
my_primary->jtpt->at(j4i): 115.814, trkPt: 2.01419
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.61178
my_primary->jtpt->at(j4i): 115.814, trkPt: 2.70468
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.10987
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.06494
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.35557
my_primary->jtpt->at(j4i): 115.814, trkPt: 2.16435
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.57918
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.00037
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.18785
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.52442
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.72281
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.35563
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.52711
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.79404
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.86545
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.5718
my_primary->jtpt->at(j4i): 115.814, trkPt: 2.00983
my_primary->jtpt->at(j4i): 115.814, trkPt: 2.28032
my_primary->jtpt->at(j4i): 115.814, trkPt: 2.18463
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.08103
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.42134
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.06392
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.00321
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.99898
my_primary->jtpt->at(j4i): 115.814, trkPt: 1.13765
